Gene symbol,Description,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
0610005C13Rik,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0610007C21Rik,,44.9,34.2,71.2,58.0,54.0,89.1,63.6
0610007L01Rik,,11.0,12.0,13.3,14.1,6.1,18.5,13.5
0610007P08Rik,,7.1,2.0,4.5,6.0,2.9,0.4,4.7
0610007P14Rik,Probable ergosterol biosynthetic protein 28,48.9,24.4,54.5,68.2,64.3,10.4,10.6
0610007P22Rik,,8.2,13.3,9.4,10.1,8.8,6.7,6.1
0610008F07Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B14Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B22Rik,Trafficking protein particle complex subunit 2,9.1,9.4,12.2,13.8,14.5,2.6,12.0
0610009D07Rik,,18.8,24.3,38.8,39.7,30.0,13.1,32.1
0610009L18Rik,,1.9,1.7,5.0,3.5,1.9,1.1,1.2
0610009O20Rik,Death ligand signal enhancer,16.5,10.1,22.0,14.8,11.7,26.6,17.8
0610010B08Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610010F05Rik,Uncharacterized protein KIAA1841,5.1,12.8,4.9,6.4,3.9,0.6,5.9
0610010K14Rik,Chromatin complexes subunit BAP18,11.0,21.0,26.2,15.9,14.8,50.8,46.6
0610010O12Rik,,13.7,20.0,12.1,12.0,23.2,2.4,2.5
0610011F06Rik,UPF0585 protein C16orf13 homolog,5.3,9.1,12.8,6.6,7.8,4.5,9.7
0610011L14Rik,,6.6,6.3,8.0,9.8,6.6,7.2,7.7
0610012G03Rik,,7.9,14.0,17.4,14.8,15.1,22.7,17.5
0610012H03Rik,,0.1,0.1,0.3,0.1,0.1,0.1,0.1
0610030E20Rik,UPF0561 protein C2orf68 homolog,5.3,3.1,3.5,2.7,1.0,2.3,1.3
0610031J06Rik,Lysosomal protein NCU-G1,26.8,10.1,34.0,24.2,29.9,140.7,80.4
0610037L13Rik,UPF0587 protein C1orf123 homolog,19.3,9.5,19.0,11.9,8.9,13.1,21.9
0610037P05Rik,,16.5,20.5,29.9,26.9,21.3,8.8,21.5
0610038B21Rik,,0.1,0.2,0.2,0.1,0.1,0.1,0.1
0610039K10Rik,,0.2,0.3,0.2,0.1,0.1,0.4,0.6
0610040B10Rik,,1.6,1.5,3.0,3.4,3.1,0.7,2.9
0610040F04Rik,,0.2,0.1,0.2,0.1,0.1,0.1,0.1
0610040J01Rik,Uncharacterized protein C4orf19 homolog,13.9,1.3,33.5,6.9,4.4,46.4,0.1
