,MouseGene Symbol,Mouse.7Description,X.8Myeloid Activation (Fine),X.9Myeloid Activation (Coarse),X.10Immune-Specific,adjP-PS2APP,lfc-PS2APP,adjP-7-13months-1,lfc-7-13months-1,adjP-7-13months-2,lfc-7-13months-2,adjP-WT-5xFAD,lfc-WT-5xFAD,adjP-Trem2KO-5xFAD,lfc-Trem2KO-5xFAD,adjP-Trem2KOvWT,lfc-Trem2KOvWT,adjP-Trem2KOvWT-5xFAD,lfc-Trem2KOvWT-5xFAD,adjP-APPswe/PS1dE9,lfc-APPswe/PS1dE9,adjP-hMAPT-P301L,lfc-hMAPT-P301L,adjP-X6.2hMAPT-P301S,lfc-X6.2hMAPT-P301S,adjP-hSOD1-G93A-d65,lfc-hSOD1-G93A-d65,adjP-hSOD1-G93A-d100,lfc-hSOD1-G93A-d100,adjP-2MFP2ko,lfc-2MFP2ko,adjP-transischemia,lfc-transischemia,adjP-4wkcuprizoneWT,lfc-4wkcuprizoneWT,adjP-12wkcuprizoneWT,lfc-12wkcuprizoneWT,adjP-4wkcuprizoneTrem2KO,lfc-4wkcuprizoneTrem2KO,adjP-12wkcuprizoneTrem2KO,lfc-12wkcuprizoneTrem2KO,adjP-LPS,lfc-LPS,adjP-LPSmogene,lfc-LPSmogene,adjP-LCMV,lfc-LCMV,adjP-GBM,lfc-GBM,adjP-GBM-CSF1Rblock,lfc-GBM-CSF1Rblock,adjP-repop-MG,lfc-repop-MG,adjP-infiltrating-MG,lfc-infiltrating-MG,adjP-22Mvs4-12M-Cb,lfc-22Mvs4-12M-Cb,adjP-22Mvs4-12M-Ctx,lfc-22Mvs4-12M-Ctx,adjP-22Mvs4-12M-Hp,lfc-22Mvs4-12M-Hp,adjP-22Mvs4-12M-Str,lfc-22Mvs4-12M-Str,adjP-PS2APP-13months,lfc-PS2APP-13months,adjP- SOD1G93A-D28,lfc- SOD1G93A-D28,adjP- SOD1G93A-D42,lfc- SOD1G93A-D42,adjP- SOD1G93A-D56,lfc- SOD1G93A-D56,adjP- SOD1G93A-D70,lfc- SOD1G93A-D70,adjP- SOD1G93A-D98,lfc- SOD1G93A-D98,adjP- SOD1G93A-D112,lfc- SOD1G93A-D112,adjP- SOD1G93A-D126,lfc- SOD1G93A-D126,adjP-AD-fusiform,lfc-AD-fusiform,adjP-AD-temp,lfc-AD-temp,adjP-ALS,lfc-ALS,adjP-ALS-MN,lfc-ALS-MN,adjP-FTDprogranulin,lfc-FTDprogranulin,adjP-HD,lfc-HD
2,Wfdc17,WAP four-disulfide core domain 17,12,LPS-Related,,1.32E-07,2.636,0.9992,0.3897,0.5499,0.6955,,,,,,,,,0.0004444,0.8748,1,0,1,0,1,0,0.0002841,2.666,,,0.5939,0.471,,,,,,,,,1.41E-13,5.699,0.02074,4.763,0.3818,1.341,,,,,0.385,-1.192,0.0003148,1.018,0.06007,0.6908,0.1018,0.6136,0.9967,-0.002245,0.4556,-0.3386,0.002425,1.945,0.838,0.06885,0.5731,-0.1416,0.9472,0.03599,0.7101,0.2205,0.1616,0.435,0.00006596,1.401,0.0004772,1.963,,,,,,,,,,,,
3,Isg15,ISG15 ubiquitin-like modifier,18,Interferon-Related,,0.4974,0.7337,0.9992,0.3378,1,0,,,,,,,,,0.00003748,1.201,1,0,1,0,1,0,1,0,,,0.03761,1.836,,,,,,,,,0.03613,2.13,0.03597,2.961,0.001108,2.789,,,,,0.8615,0.1601,0.0002333,-1.086,,,,,,,,,0.254,0.4503,,,,,,,,,,,,,,,0.1749,-0.2068,0.00007715,-0.3175,0.9878,0.06076,0.9155,-0.0906,0.616,0.4559,0.7148,0.04339
4,Ahnak2,AHNAK nucleoprotein 2,19,,,0.02304,1.73,0.9992,0.4766,1.06E-08,2.93,,,,,,,,,0.000008398,1.072,0.3875,0.8402,0.004643,5.817,0.7549,0.3706,0.002342,2.178,,,0.4273,0.7808,,,,,,,,,0.1883,1.533,0.9958,-0.01901,0.9487,0.1762,,,,,1,0,1,0,4.46E-07,3.19,0.09424,0.6947,0.0003233,1.21,0.0009336,0.958,0.8756,0.05837,0.4932,0.2469,0.9512,-0.02821,0.7162,0.2091,0.9476,0.08843,0.4709,-0.3394,0.1943,-0.2369,0.03045,-0.4508,,,,,,,,,,,,
5,Rell1,RELT-like 1,11,,,0.9917,0.01712,0.9992,0.3303,0.9262,0.1224,0.07388,1.421,0.05611,1.593,0.7182,-0.9924,0.2872,-0.8208,0.000004083,1.658,0.7177,0.501,0.6358,1.071,0.608,0.3939,0.004777,1.207,0.05082,1.316,0.6826,-0.912,0.7441,2.573,0.3853,2.632,0.8983,0.7951,0.5856,1.064,0.9559,0.05531,0.9759,0.1558,0.9574,0.1661,0.001298,2.305,0.004523,0.9207,0.5139,0.6426,0.00003829,1.289,0.0314,0.6002,0.05565,0.427,0.08606,0.398,0.07054,0.4705,0.2281,0.4393,0.8062,0.09829,0.8013,0.07886,0.7783,-0.1369,0.7667,-0.2478,0.9231,0.05639,0.0141,0.5429,0.06544,0.564,0.3776,0.1369,,,,,,,,,0.00005051,0.6915
6,Gbp6,guanylate binding protein 6,42,,,0.06799,1.565,0.9992,0.4763,0.01333,1.689,,,,,,,,,0.0001124,0.6156,1,0,0.3396,1.951,1,0,0.9354,0.117,,,,,,,,,,,,,0.008816,2.378,,,,,,,0.8977,0.1835,0.4694,0.5734,0.5165,-0.2993,0.003854,1.693,0.01887,0.6718,0.8693,0.1271,0.007053,1.186,0.07074,0.7864,0.7477,0.1254,0.7674,0.09254,0.4114,0.3693,0.99,-0.01482,0.3894,0.4946,0.04383,0.6744,0.1616,0.3282,0.9387,-0.02372,0.633,0.0409,0.9671,-0.3343,0.471,-0.8691,,,,
7,Plekha1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",36,Neurodegeneration-Related,,0.06017,0.7047,0.6995,0.4224,0.0286,0.8215,0.7834,0.5272,0.6316,0.6443,0.973,-0.6702,0.6657,-0.5531,0.00002213,0.7582,0.0239,0.9501,0.01756,1.319,0.6466,0.1698,0.00001195,1.017,0.8591,0.3542,0.3167,-1.16,0.9109,0.6677,0.5507,-1.12,0.9843,-0.4659,0.4735,-3.417,0.0009958,0.9126,0.8589,0.6322,0.675,0.8027,0.01255,1.26,0.003539,0.7174,0.936,0.04334,0.1466,-0.1972,0.8814,0.08606,0.9999,-0.0002287,0.8856,0.07025,0.9173,0.09808,0.3906,0.1255,0.9595,0.02469,0.6813,-0.1077,0.8491,-0.09268,0.9964,-0.004716,0.4838,0.1301,0.0004525,0.863,0.001385,1.434,0.254,-0.1143,0.00002086,0.3911,0.9519,0.3303,0.2952,-1.499,0.1785,-0.4608,0.04726,-0.1651
8,Slco2b1,"solute carrier organic anion transporter family, member 2b1",2,,,0.2895,-0.2615,0.9992,-0.1473,0.6186,-0.1698,0.8598,-0.5096,0.9738,-0.1297,0.9991,-0.07645,0.8908,0.3035,0.00001861,-0.6468,0.8217,-0.1822,0.2601,-0.3769,0.5947,-0.1543,0.2103,-0.3192,0.1467,-0.7535,0.7311,-0.3899,0.9323,-0.8414,0.7647,0.5539,0.9917,-0.6682,0.4283,-2.188,0.008576,-2.304,0.03777,-2.971,0.2738,-2.191,0.0005711,-2.836,,,0.3171,-0.3986,1.56E-09,-1.883,0.1521,-0.3429,0.3421,-0.1756,0.2933,-0.2088,0.5414,-0.1408,0.000611,0.8583,0.7569,0.1179,0.6842,-0.1242,0.6597,-0.218,0.7252,0.264,0.1459,0.5582,0.000006916,1.443,0.001729,1.662,0.01285,0.3766,0.003404,0.2304,0.9943,-0.07461,0.7892,0.4178,0.01169,0.9464,0.02214,0.2443
9,Cyp4v3,"cytochrome P450, family 4, subfamily v, polypeptide 3",37,Neurodegeneration-Related,,0.9829,0.02035,0.9992,0.1402,0.3686,-0.5844,,,,,,,,,0.0001291,0.3658,0.8735,0.2179,0.9952,0.01181,0.6033,0.2706,0.003252,0.6514,,,0.08071,-0.865,,,,,,,,,0.7544,0.1566,0.2466,2.522,0.02132,3.466,,,0.0003691,1.159,0.7237,-0.1382,0.000001553,-1.156,0.3916,0.2455,0.9479,-0.02686,0.7459,0.105,0.6573,0.1419,0.02692,0.3161,0.8719,0.07378,0.956,0.01733,0.4444,0.3018,0.7249,0.2171,0.2984,0.2722,0.001921,0.7637,0.0003028,1.041,0.7811,0.03197,0.6454,-0.04868,0.9671,0.251,0.3442,0.896,,,0.2816,0.1063
10,Oaf,OAF homolog (Drosophila),5,,,0.8387,-0.2399,0.9992,-0.3055,0.883,-0.1458,0.8412,0.4969,0.8772,-0.4542,0.9991,0.5299,0.8559,-0.4213,0.9749,-0.006728,0.8986,0.2293,0.8061,-0.7906,0.9866,0.0325,0.4048,-0.7944,0.4157,-0.7123,0.2917,0.6634,1,0.007641,0.9978,-0.00768,0.9992,-0.08946,0.6717,0.9826,0.002749,1.868,0.1572,1.229,0.3503,-0.9833,0.01421,-0.9542,0.03968,-0.6303,0.4709,-0.3123,1.83E-09,-4.748,0.1004,-0.3939,0.5385,-0.1739,0.5153,0.1399,0.7699,-0.09837,0.1948,-0.2674,0.4138,0.2273,0.9257,-0.02933,0.9617,0.02088,0.744,0.1897,0.01731,0.5848,0.0004824,1.165,0.00192,1.569,0.2113,0.1751,0.6948,-0.04525,0.9252,-0.2679,0.3466,0.8185,,,0.002776,-0.2195
11,Xpo1,"exportin 1, CRM1 homolog (yeast)",22,,,0.2258,0.5015,0.9992,-0.2202,0.3134,-0.5503,0.9292,0.3834,0.8815,0.6762,0.9707,-1.102,0.8009,-0.8097,0.1514,0.1403,0.8637,0.2131,0.6967,0.3404,0.5671,0.2757,0.00968,0.6187,0.5562,0.9237,0.01963,1.902,0.9745,0.3707,0.9448,-0.2807,0.7879,1.242,0.7746,-0.9152,2.18E-09,2.079,0.4573,-1.768,0.6221,-1.282,0.03957,1.305,0.06423,-0.689,0.9622,-0.03469,0.00001585,0.9734,0.7942,0.1026,0.2964,-0.2464,0.2341,-0.2573,0.5291,-0.1798,0.2198,0.1639,0.1539,0.5227,0.5983,0.1461,0.6273,0.2404,0.4328,0.5919,0.007544,0.5398,0.0229,0.5074,0.6737,0.1249,0.004356,0.303,0.2126,-0.09014,0.873,0.8365,0.5835,0.821,0.3752,0.2732,0.000002802,0.4673
