"","X","MouseGene.Symbol","lfc.PS2APP","lfc.7.13months.1","lfc.7.13months.2","lfc.WT.5xFAD","lfc.Trem2KO.5xFAD","lfc.Trem2KOvWT","lfc.Trem2KOvWT.5xFAD","lfc.APPswe.PS1dE9","lfc.hMAPT.P301L","lfc.X6.2hMAPT.P301S","lfc.hSOD1.G93A.d65","lfc.hSOD1.G93A.d100","lfc.2MFP2ko","lfc.transischemia","lfc.4wkcuprizoneWT","lfc.12wkcuprizoneWT","lfc.4wkcuprizoneTrem2KO","lfc.12wkcuprizoneTrem2KO","lfc.LPS","lfc.LPSmogene","lfc.LCMV","lfc.GBM","lfc.GBM.CSF1Rblock","lfc.repop.MG","lfc.infiltrating.MG","lfc.22Mvs4.12M.Cb","lfc.22Mvs4.12M.Ctx","lfc.22Mvs4.12M.Hp","lfc.22Mvs4.12M.Str","lfc.PS2APP.13months","lfc..SOD1G93A.D28","lfc..SOD1G93A.D42","lfc..SOD1G93A.D56","lfc..SOD1G93A.D70","lfc..SOD1G93A.D98","lfc..SOD1G93A.D112","lfc..SOD1G93A.D126","lfc.AD.fusiform","lfc.AD.temp","lfc.ALS","lfc.ALS.MN","lfc.FTDprogranulin","lfc.HD"
"Isg15",3,"Isg15","0.7337",0.3378,0,NA,NA,NA,NA,1.201,"0",0,"0",0,NA,1.836,NA,NA,NA,NA,"2.13",2.961,2.789,NA,NA,0.1601,-1.086,NA,NA,NA,NA,0.4503,NA,NA,NA,NA,NA,NA,NA,"-0.2068",-0.3175,0.06076,-0.0906,0.4559,0.04339
"Tspo",71,"Tspo","0.309",-0.1134,0.2167,1.391,0.2998,0.1427,-0.9482,0.7834,"0",0,"0",0,1.422,1.398,0.4634,0.5953,-0.04383,0.4509,"2.544",3.176,2.197,2.666,-0.5092,0.7232,0.6531,0.4633,0.5119,0.5413,0.48,0.7172,0.4861,0.1421,0.06714,0.1336,0.421,1.396,1.921,"0.3548",0.2527,-0.6178,-0.4163,0.8794,0.5031
"Cybb",136,"Cybb","1.06",0.1662,-0.5518,4.345,-0.2042,1.593,-2.956,0.9574,"0.3272",3.533,"1.713",1.64,0.7371,2.625,2.074,3.133,1.767,1.385,"4.757",3.573,1.011,3.513,-0.9303,0.4616,2.81,1.24,1.272,0.9836,1.271,1.939,0.1159,0.3721,0.1334,0.2562,0.7998,1.99,2.819,"0.2278",-0.06173,0.5302,0.8532,0.7269,0.02573
"Fgl2",161,"Fgl2","1.405",-0.1372,0.5361,1.687,1.485,-0.3152,-0.5177,0.6688,"0.0619",3.08,"-0.2922",1.056,0.8498,0.2233,0.3696,0.6367,0.09423,0.6442,"1.931",1.323,3.176,3.852,-0.3521,1.119,1.027,1.069,1.186,1.173,1.24,0.3025,0.01678,-0.2919,0.5338,0.1008,0.7128,0.9639,0.9093,"0.4067",0.4348,0.8834,1.982,1.334,0.3359
"Ifi204",204,"Ifi204","1.421",0.872,0.4178,NA,NA,NA,NA,1.366,"0.7761",1.959,"0.6568",1.112,NA,2.926,NA,NA,NA,NA,"3.731",4.174,4.542,NA,-0.7137,1.619,1.035,0.8122,1.057,1.013,1.09,2.557,0.1701,0.02067,0.0638,0.051,0.0906,0.2136,0.2601,"0.4042",0.03759,-0.05617,2.531,1.659,0.6581
"Ifit1",205,"Ifit1","0.8109",0.003568,0.0259,0.9882,1.49,-0.8398,-0.3382,0.3471,"1.474",0.0893,"2.155",0.2325,1.003,2.607,0.148,2.124,0.03957,1.765,"1.054",4.727,2.239,3.443,-0.8559,0.9692,-0.3898,1.622,0.758,0.8449,1.276,0.842,0.3284,0.02276,0.5054,0.2016,0.4014,1.719,1.457,"0",NA,NA,NA,NA,NA
"Ifit2",206,"Ifit2","1.905",1.281,-0.00265,1.277,1.932,-1.528,-0.8734,0.982,"0.6412",1.141,"0.9491",1.399,1.171,2.072,1.919,1.614,0.9352,-0.5358,"0.1385",0.6984,3.298,4.524,-0.823,1.476,-0.06849,0.9334,0.8321,1.046,1.263,0.3322,0.1146,-0.3103,0.3336,-0.125,0.2988,1.147,1.31,"0.3659",0.07566,-0.03947,1.487,0.4653,0.3374
"Ifit3",207,"Ifit3","1.124",0.5989,-0.2783,1.919,1.071,0.05793,-0.7902,0.6088,"0.3645",2.915,"1.282",1.328,0.4791,1.862,0.4011,0.8598,0.5211,0.545,"1.241",3.676,4.247,2.917,-0.7152,1.115,-0.9252,0.9652,0.8358,0.6582,1.391,0.7415,-0.1091,-0.03743,0.1679,-0.1475,0.5829,1.287,0.925,"0.05785",0.2661,-0.08222,-0.2709,0.6509,0.1188
"Mx1",285,"Mx1","1.345",0.5445,-0.1653,1.464,2.281,-0.9115,-0.09404,0.6475,"0.4803",2.701,"0.5755",0.5259,1.392,0.744,1.836,1.909,-0.8396,0.09923,"1.939",4.047,3.389,3.805,-0.1001,1.761,0.4611,0.3636,0.1449,-0.0192,0.3888,1.685,-0.01811,-0.05656,0.02999,0.04284,0.1044,0.2042,0.1717,"",NA,NA,NA,NA,NA
"Lgals3bp",325,"Lgals3bp","1.215",1.487,1.076,1.57,1.037,-0.4255,-0.9585,1.114,"0.1657",3.262,"0.5028",1.735,1.771,-0.3632,0.5307,0.5143,-0.7523,-1.038,"3.09",2.171,0.7748,2.391,0.698,1.425,0.05043,1.061,0.852,0.9274,1.038,1.492,0.2067,0.02447,0.4774,-0.03333,0.9374,1.876,2.307,"0.2483",0.3823,-0.2289,0.8691,1.291,0.3775
"Ccl2",348,"Ccl2","-0.3793",-0.1941,0.3277,-0.945,-0.1841,0.577,1.338,-0.4527,"0.4189",3.442,"0.8866",1.057,1.943,3.408,0.6929,1.709,1.319,2.44,"2.453",2.948,2.586,-0.005047,-0.9435,1.537,0.9163,0.5093,0.7932,0.327,0.2756,0,0.05455,0.03025,0.03296,0.1425,0.2444,0.1289,0.5033,"0",0.06995,0.7054,0.03582,0.2441,0.003949
"Slfn2",365,"Slfn2","1.118",0.4301,-0.03152,1.04,0.03554,0.5286,-0.4756,0.2784,"0.09356",2.955,"0.4091",0.6339,0.7079,1.919,0.6709,1.997,0.1698,1.704,"4.255",3.081,2.132,1.481,-0.06051,0.4447,-0.08094,0.4671,0.7506,0.6806,0.7582,0.6453,-0.01725,0.08006,0.149,0.1564,-0.04774,0.05996,0.3523,"",NA,NA,NA,NA,NA
