Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
36951,0.447647,-1.684508,2.573169,1.904672
37316,0.045,-0.275679,0.328337,0.350419
37500,0.278824,-0.483134,0.779269,0.580911
38412,0.084118,-0.118456,0.018269,0.215234
38777,0.111176,-0.381552,0.031189,0.220559
39142,0.101765,-1.193275,2.288546,1.666616
39326,0.317647,-0.814401,1.565157,1.108253
39508,0.046176,1.426085,0.342435,0.351723
39692,0.050588,-1.549909,0.265743,0.320746
40422,0.022647,-0.480628,0.579526,0.473592
42248,0.522353,0.222422,0.577568,0.472466
0610007C21Rik,0.292353,0.049786,0.32337,0.348232
0610007L01Rik,0.117353,-0.589114,0.197147,0.285776
0610007P14Rik,0.056176,-0.237672,0.671583,0.522811
0610007P22Rik,0.034118,-0.599754,0.082681,0.240342
0610009B22Rik,0.068235,0.400246,0.573366,0.471987
0610009D07Rik,0.134118,-0.082065,0.777291,0.57962
0610010F05Rik,0.036765,-1.811894,0.728029,0.552085
0610010K14Rik,0.111176,-0.295652,0.143541,0.268872
0610011L14Rik,0.062059,-1.397284,0.711797,0.546163
0610012G03Rik,0.076471,1.587671,4.354177,3.462817
0610030E20Rik,0.099412,-0.868478,1.275878,0.910433
0610031J06Rik,0.291176,0.77701,5.764088,4.766836
0610037L13Rik,0.066176,-1.522387,0.291984,0.331683
0610037P05Rik,0.042059,1.536277,1.358881,0.965844
0610040J01Rik,0.269118,-0.983298,4.411716,3.516102
0910001L09Rik,0.215588,-0.170007,0.009534,0.212059
1110001A16Rik,0.200588,-0.172275,0.025208,0.218636
1110002B05Rik,0.170882,-0.210881,0.239955,0.311221
1110002N22Rik,0.026765,-0.675833,0.163536,0.276303
1110003E01Rik,0.111471,0.640948,1.221963,0.875516
1110004F10Rik,0.117353,-0.522881,0.025823,0.218903
1110005A03Rik,0.048235,0.013569,0.125698,0.259659
1110007C09Rik,0.070588,0.201196,0.000226,0.208913
1110008F13Rik,0.238824,-0.369849,0.168939,0.27469
1110012L19Rik,0.025,-0.933573,0.663002,0.518649
